scenario,env_id,inst_type,instruction,succeeded,steps_to_succeed,total_interactions
1,door_key_8_0,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_11_1,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,4
1,door_key_10_2,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,3
1,door_key_8_3,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_8_4,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_9_5,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_8_6,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,10
1,door_key_10_7,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,11
1,door_key_10_8,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,31
1,door_key_7_9,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,15
1,door_key_7_10,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,4
1,door_key_9_12,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,17
1,door_key_7_14,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,3
1,door_key_11_15,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,13
1,door_key_7_17,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_10_19,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,6
1,door_key_11_20,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_11_21,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_11_22,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,8
1,door_key_8_23,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,9
1,door_key_11_24,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,14
1,door_key_7_25,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,11
1,door_key_8_26,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_10_27,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,4
1,door_key_7_29,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,3
1,door_key_11_30,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,4
1,door_key_9_31,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,16
1,door_key_11_33,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,3
1,door_key_9_34,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,4
1,door_key_10_36,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,15
1,door_key_11_38,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,13
1,door_key_10_39,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_9_40,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,4
1,door_key_7_41,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,42
1,door_key_11_42,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,10
1,door_key_10_43,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_7_44,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,34
1,door_key_10_46,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,2
1,door_key_11_48,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,3
1,door_key_10_49,mid-direct-explore,Pick up the key, use it to unlock the door, and go through the door to get to the goal. For each of the key, door, and goal, if you don't see it first, explore the room until you find it.,False,inf,12
