scenario,env_seed,inst_type,instruction,succeeded,steps_to_succeed,total_interactions
1,1,low-teach,"Turn left. Move forward four steps. Turn left. Move forward one step to reach the grey ball.",False,9,9
1,20,low-teach,"Go to the purple key. Follow these steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Move forward one step to reach the purple key.",False,16,16
1,30,low-teach,"Go to the blue ball. Follow these steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Move forward one step to reach the blue ball.",False,31,31
1,40,low-teach,"Go to a red box. Follow these exact steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Finally, move forward one step to reach a red box.",False,13,13
1,50,low-teach,"Go to a red key. Follow these exact steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Finally, move forward one step to reach a red key.",False,16,16
1,60,low-teach,"Go to a green ball. Follow these exact steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Finally, move forward one step to reach a green ball.",False,22,22
1,70,low-teach,"Go to the blue ball. Follow these exact steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Finally, move forward one step to reach the blue ball.",False,12,12
1,80,low-teach,"Go to a grey ball. Follow these exact steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Finally, move forward one step to reach a grey ball.",False,22,22
1,90,low-teach,"Go to a purple box. Follow these exact steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Finally, move forward one step to reach a purple box.",True,22,22
1,100,low-teach,"Go to a green key. Follow these exact steps in order to achieve your task: Turn left. Move forward four steps. Turn left. Finally, move forward one step to reach a green key.",False,14,14
