mismatch,task,distribution,model,shot,score
intention,speaker,in,llama,0,0.43113
intention,speaker,in,mixtral,0,0.25536
intention,speaker,in,gemma,0,0.03214
intention,speaker,out,llama,0,0.44172
intention,speaker,out,mixtral,0,0.29039
intention,speaker,out,gemma,0,0.04294
intention,listener,in,llama,0,0.21888
intention,listener,in,mixtral,0,0.09402
intention,listener,in,gemma,0,0.0
intention,listener,out,llama,0,0.18947
intention,listener,out,mixtral,0,0.05625
intention,listener,out,gemma,0,0.0
belief,speaker,in,llama,0,0.658
belief,speaker,in,mixtral,0,0.335
belief,speaker,in,gemma,0,0.23
belief,speaker,out,llama,0,0.42417
belief,speaker,out,mixtral,0,0.30598
belief,speaker,out,gemma,0,0.20603
belief,listener,in,llama,0,0.6562
belief,listener,in,mixtral,0,0.44013
belief,listener,in,gemma,0,0.43403
belief,listener,out,llama,0,0.67794
belief,listener,out,mixtral,0,0.52464
belief,listener,out,gemma,0,0.44682
intention,speaker,in,llama,3,0.27143
intention,speaker,in,mixtral,3,0.15357
intention,speaker,in,gemma,3,0.01964
intention,speaker,out,llama,3,0.31902
intention,speaker,out,mixtral,3,0.17791
intention,speaker,out,gemma,3,0.0184
intention,listener,in,llama,3,0.15018
intention,listener,in,mixtral,3,0.13419
intention,listener,in,gemma,3,0.0
intention,listener,out,llama,3,0.18468
intention,listener,out,mixtral,3,0.10949
intention,listener,out,gemma,3,0.0
belief,speaker,in,llama,3,0.238
belief,speaker,in,mixtral,3,0.169
belief,speaker,in,gemma,3,0.12
belief,speaker,out,llama,3,0.19615
belief,speaker,out,mixtral,3,0.17899
belief,speaker,out,gemma,3,0.12261
belief,listener,in,llama,3,0.61737
belief,listener,in,mixtral,3,0.64774
belief,listener,in,gemma,3,0.03519
belief,listener,out,llama,3,0.67445
belief,listener,out,mixtral,3,0.71672
belief,listener,out,gemma,3,0.05942
