scenario,env_seed,inst_type,instruction,succeeded,steps_to_succeed,total_interactions
1,1,high,"Go to the grey ball.",True,8,8
1,20,high,"Go to a purple key.",False,15,15
1,30,high,"Go to the blue ball.",False,14,14
1,40,high,"Go to a red box.",False,12,12
1,50,high,"Go to a red key.",False,25,25
1,60,high,"Go to a green ball.",False,21,21
1,70,high,"Go to the blue ball.",False,26,26
1,80,high,"Go to a grey ball.",False,27,27
1,90,high,"Go to a purple box.",False,21,21
1,100,high,"Go to a green key.",False,9,9
